city,state_id,state_name,county_name,population,military,incorporated,timezone,zips,id
South Creek,WA,Washington,Pierce,2500,FALSE,TRUE,America/Los_Angeles,98580 98387 98338,1840042075
Roslyn,WA,Washington,Kittitas,947,FALSE,TRUE,America/Los_Angeles,98941 98068 98925,1840019842
Sprague,WA,Washington,Lincoln,441,FALSE,TRUE,America/Los_Angeles,99032,1840021107
Gig Harbor,WA,Washington,Pierce,9507,FALSE,TRUE,America/Los_Angeles,98332 98335,1840019855
Lake Cassidy,WA,Washington,Snohomish,3591,FALSE,TRUE,America/Los_Angeles,98223 98258 98270,1840041959
Tenino,WA,Washington,Thurston,1830,FALSE,TRUE,America/Los_Angeles,98589,1840021144
Jamestown,WA,Washington,Clallam,289,FALSE,FALSE,America/Los_Angeles,98382,1840037668
Three Lakes,WA,Washington,Snohomish,3390,FALSE,FALSE,America/Los_Angeles,98290,1840018375
Curlew Lake,WA,Washington,Ferry,573,FALSE,TRUE,America/Los_Angeles,99166,1840043278
Chain Lake,WA,Washington,Snohomish,4280,FALSE,TRUE,America/Los_Angeles,98290,1840041915
Pateros,WA,Washington,Okanogan,701,FALSE,TRUE,America/Los_Angeles,98846,1840019763
Rosburg,WA,Washington,Wahkiakum,385,FALSE,FALSE,America/Los_Angeles,98643,1840023878
Parkland,WA,Washington,Pierce,37019,FALSE,FALSE,America/Los_Angeles,98444 98445 98447 98448,1840018453
Birch Bay,WA,Washington,Whatcom,8642,FALSE,FALSE,America/Los_Angeles,98230,1840017289
Ashford,WA,Washington,Pierce,162,FALSE,FALSE,America/Los_Angeles,98304,1840017363
Navy Yard City,WA,Washington,Kitsap,3154,FALSE,FALSE,America/Los_Angeles,98312,1840018407
Omak,WA,Washington,Okanogan,8130,FALSE,TRUE,America/Los_Angeles,98841,1840019761
Farmington,WA,Washington,Whitman,154,FALSE,TRUE,America/Los_Angeles,99128,1840021140
Buckley,WA,Washington,Pierce,4819,FALSE,TRUE,America/Los_Angeles,98321,1840018455
Cathcart,WA,Washington,Snohomish,2506,FALSE,FALSE,America/Los_Angeles,98296,1840017324
Poulsbo,WA,Washington,Kitsap,10670,FALSE,TRUE,America/Los_Angeles,98370,1840019822
Anacortes,WA,Washington,Skagit,17955,FALSE,TRUE,America/Los_Angeles,98221,1840018366
Maplewood,WA,Washington,Pierce,5340,FALSE,FALSE,America/Los_Angeles,98332,1840037569
Creston,WA,Washington,Lincoln,226,FALSE,TRUE,America/Los_Angeles,99117,1840021109
Rockford,WA,Washington,Spokane,477,FALSE,TRUE,America/Los_Angeles,99030,1840021095
Wishram,WA,Washington,Klickitat,438,FALSE,FALSE,America/Los_Angeles,98673,1840018528
Centralia,WA,Washington,Lewis,41643,FALSE,TRUE,America/Los_Angeles,98531,1840018471
South Hill,WA,Washington,Pierce,56379,FALSE,FALSE,America/Los_Angeles,98375 98374 98373,1840037886
Longview Heights,WA,Washington,Cowlitz,3678,FALSE,FALSE,America/Los_Angeles,98632,1840037874
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,2973,FALSE,TRUE,America/Los_Angeles,98312,1840073915
Amboy,WA,Washington,Clark,2027,FALSE,FALSE,America/Los_Angeles,98601 98675,1840017396
St. John,WA,Washington,Whitman,561,FALSE,TRUE,America/Los_Angeles,99171,1840021139
Dallesport,WA,Washington,Klickitat,1739,FALSE,FALSE,America/Los_Angeles,98617 98635,1840018525
Ketron Island,WA,Washington,Pierce,0,FALSE,TRUE,America/Los_Angeles,98388,1840037558
Mesa,WA,Washington,Franklin,503,FALSE,TRUE,America/Los_Angeles,99326 99343,1840019887
Fife,WA,Washington,Pierce,10154,FALSE,TRUE,America/Los_Angeles,98424,1840019853
Moses Lake North,WA,Washington,Grant,3787,FALSE,TRUE,America/Los_Angeles,98837,1840074436
Chewelah,WA,Washington,Stevens,2637,FALSE,TRUE,America/Los_Angeles,99109,1840018360
Grayland,WA,Washington,Grays Harbor,756,FALSE,FALSE,America/Los_Angeles,98547,1840017360
Kittitas,WA,Washington,Kittitas,1491,FALSE,TRUE,America/Los_Angeles,98934 98926,1840019843
Camano,WA,Washington,Island,15989,FALSE,FALSE,America/Los_Angeles,98282,1840037492
Monroe North,WA,Washington,Snohomish,1704,FALSE,TRUE,America/Los_Angeles,98290 98272,1840042006
North Bonneville,WA,Washington,Skamania,999,FALSE,TRUE,America/Los_Angeles,98648 98639,1840019903
Klickitat,WA,Washington,Klickitat,358,FALSE,FALSE,America/Los_Angeles,98628,1840017404
Loon Lake,WA,Washington,Stevens,784,FALSE,FALSE,America/Los_Angeles,99148,1840023998
Newport,WA,Washington,Pend Oreille,2635,FALSE,TRUE,America/Los_Angeles,99156,1840019765
Mead,WA,Washington,Spokane,6859,FALSE,FALSE,America/Los_Angeles,99021,1840023786
Cashmere,WA,Washington,Chelan,4864,FALSE,TRUE,America/Los_Angeles,98815,1840018368
Aberdeen Gardens,WA,Washington,Grays Harbor,283,FALSE,FALSE,America/Los_Angeles,98520,1840037845
Ocean Shores,WA,Washington,Grays Harbor,5553,FALSE,TRUE,America/Los_Angeles,98569,1840019849
Basin City,WA,Washington,Franklin,1281,FALSE,FALSE,America/Los_Angeles,99343,1840017379
Wilkeson,WA,Washington,Pierce,507,FALSE,TRUE,America/Los_Angeles,98396,1840022310
Meadow Glade,WA,Washington,Clark,2895,FALSE,FALSE,America/Los_Angeles,98604,1840018517
Arlington Heights,WA,Washington,Snohomish,2826,FALSE,FALSE,America/Los_Angeles,98223,1840037743
Uniontown,WA,Washington,Whitman,343,FALSE,TRUE,America/Los_Angeles,99179,1840022316
Oakesdale,WA,Washington,Whitman,442,FALSE,TRUE,America/Los_Angeles,99158,1840022314
West Side Highway,WA,Washington,Cowlitz,5902,FALSE,TRUE,America/Los_Angeles,98626 98632,1840037246
Conconully,WA,Washington,Okanogan,208,FALSE,TRUE,America/Los_Angeles,98819,1840022269
Latah,WA,Washington,Spokane,187,FALSE,TRUE,America/Los_Angeles,99018,1840021097
Elma,WA,Washington,Grays Harbor,3092,FALSE,TRUE,America/Los_Angeles,98541,1840019844
